NAMA PARTAI POLITIK,NAMA CALON LEGESLATIF,JENIS KELAMIN,KECAMATAN,NO.URUT PARPOL,SUARA SAH PARTAI,JUML.PEROLEHAN KURSI,DAERAH PEMILIHAN,NO.URUT CALEG,SUARA SAH CALEG,TERPILIH ATAU TIDAK
PARTAI KEADILAN SEJAHTERA,"WAHYUNINGSIH,SS",P,SLAWI,8,48136,5,1,5,841,TIDAK
PARTAI KEADILAN SEJAHTERA,SAKURI,L,SLAWI,8,48136,5,1,6,485,TIDAK
PARTAI KEADILAN SEJAHTERA,"AKMAD ROMDONI,SE",L,DUKUHWARU,8,48136,5,1,7,1076,TIDAK
PARTAI KEADILAN SEJAHTERA,"UMI ZINAH ZAKIYAH,SPdi",P,SLAWI,8,48136,5,1,8,235,TIDAK
PARTAI KEADILAN SEJAHTERA,"DIDIN NUR SUPRIYADI, SHI",L,SLAWI,8,48136,5,1,9,338,TIDAK
PARTAI KEADILAN SEJAHTERA,YAHYA,L,TALANG,8,48136,5,2,1,720,TIDAK
PARTAI KEADILAN SEJAHTERA,SAATUL KHOTIMAH,P,KEDUNGBANTENG,8,48136,5,2,2,505,TIDAK
PARTAI KEADILAN SEJAHTERA,"AJI KURNIA DERMAWAN,SH",L,PANGKAH,8,48136,5,2,3,886,TIDAK
PARTAI KEADILAN SEJAHTERA,"SUHERMAN,SE",L,SLAWI,8,48136,5,2,4,639,TIDAK
PARTAI KEADILAN SEJAHTERA,AHMAD YANI,L,PANGKAH,8,48136,5,2,5,367,TIDAK
PARTAI KEADILAN SEJAHTERA,KHAFIDOH,P,PANGKAH,8,48136,5,2,6,104,TIDAK
PARTAI KEADILAN SEJAHTERA,EDI SULASTOMO,L,TARUB,8,48136,5,2,7,159,TIDAK
PARTAI KEADILAN SEJAHTERA,SAFRUDIN,L,SLAWI,8,48136,5,2,8,69,TIDAK
PARTAI KEADILAN SEJAHTERA,TINTIN RIWAYATINI,P,Kec.BUMIJAWA,8,48136,5,3,1,696,TIDAK
PARTAI KEADILAN SEJAHTERA,"IMAM YULIARTO, S.Pd",L,Kec.JATINEGARA,8,48136,5,3,2,414,TIDAK
PARTAI KEADILAN SEJAHTERA,"ABDUL SEKHUDIN, SHI",L,Kec.BUMIJAWA,8,48136,5,3,3,1297,TIDAK
PARTAI KEADILAN SEJAHTERA,"SLAMET, SE",L,Kec.BOJONG,8,48136,5,3,4,1701,YA
PARTAI KEADILAN SEJAHTERA,"MOH ZAENAL, S.Pdi",L,Kec.JATINEGARA,8,48136,5,3,5,151,TIDAK
PARTAI KEADILAN SEJAHTERA,"APRILIANI WULANDINI, Amd",L,Kec.BOJONG,8,48136,5,3,6,42,TIDAK
PARTAI KEADILAN SEJAHTERA,SOPIYAH,P,Kec.JATINEGARA,8,48136,5,3,7,45,TIDAK
PARTAI KEADILAN SEJAHTERA,"WAKHIDIN,BA",L,Kec. MARGASARI,8,48136,5,4,1,2656,YA
PARTAI KEADILAN SEJAHTERA,IKHYA,L,Kec. SLAWI,8,48136,5,4,2,926,TIDAK
PARTAI KEADILAN SEJAHTERA,DEWI DARMAWATI,P,Kec. PAGERBARANG,8,48136,5,4,3,177,TIDAK
PARTAI KEADILAN SEJAHTERA,"SUDIRMAN,SPd",L,Kec. MARGASARI,8,48136,5,4,4,234,TIDAK
PARTAI KEADILAN SEJAHTERA,"SUKRIYAH,SH",L,Kec. BALAPULANG,8,48136,5,4,5,312,TIDAK
PARTAI KEADILAN SEJAHTERA,IMAM CHASANUDIN,L,Kec. BALAPULANG,8,48136,5,4,6,387,TIDAK
PARTAI KEADILAN SEJAHTERA,"IMAM SIBAWEH,SAg",L,Kec. MARGASARI,8,48136,5,4,7,575,TIDAK
PARTAI KEADILAN SEJAHTERA,NURASIAH,P,Kec. MARGASARI,8,48136,5,4,8,165,TIDAK
PARTAI KEADILAN SEJAHTERA,"H.GHASIM BZ,SH",L,Kec. BALAPULANG,8,48136,5,4,9,388,TIDAK
PARTAI KEADILAN SEJAHTERA,DAROJAT,L,Kec. PAGERBARANG,8,48136,5,4,10,281,TIDAK
PARTAI KEADILAN SEJAHTERA,AMIRUDIN JAMAL,L,Kec. ADIWERNA,8,48136,5,5,1,1445,YA
PARTAI KEADILAN SEJAHTERA,"NURAENI HIDAYATI,SPd",P,Kec.DUKUHTURI,8,48136,5,5,2,630,TIDAK
PARTAI KEADILAN SEJAHTERA,ARIP BUDIONO,L,Kec.TALANG,8,48136,5,5,3,460,TIDAK
PARTAI KEADILAN SEJAHTERA,"WARYO, AM,SHI",L,Kec.DUKUHTURI,8,48136,5,5,4,296,TIDAK
PARTAI KEADILAN SEJAHTERA,FARIKHUN,L,Kec.ADIWERNA,8,48136,5,5,5,393,TIDAK
PARTAI KEADILAN SEJAHTERA,"Hj.KHOMISAH,Amd",P,Kec.ADIWERNA,8,48136,5,5,6,203,TIDAK
PARTAI KEADILAN SEJAHTERA,MOH. ARIFIN,L,Kec.DUKUHTURI,8,48136,5,5,7,258,TIDAK
PARTAI KEADILAN SEJAHTERA,ANI DEWI MULYANTI,P,Kec.ADIWERNA,8,48136,5,5,8,206,TIDAK
PARTAI KEADILAN SEJAHTERA,"TRI ASTUTI HANDAYANI,SE",P,Kec.DUKUHTURI,8,48136,5,5,9,198,TIDAK
PARTAI KEADILAN SEJAHTERA,KUSEN,L,Kec.ADIWERNA,8,48136,5,5,10,263,TIDAK
PARTAI KEADILAN SEJAHTERA,TOTO WARYANTO,L,Kec. SLAWI,8,48136,5,6,1,2081,TIDAK
PARTAI KEADILAN SEJAHTERA,"TEGUH RUSYANTO,SPdi",L,Kec. SLAWI,8,48136,5,6,2,412,TIDAK
PARTAI KEADILAN SEJAHTERA,"AMESTONI,SKp",P,Kec. KRAMAT,8,48136,5,6,3,1379,TIDAK
PARTAI KEADILAN SEJAHTERA,"BAKHRUN,SH",L,Kec. SURADADI,8,48136,5,6,4,5214,YA
PARTAI KEADILAN SEJAHTERA,"WAHADI,SE",L,Kec. KRAMAT,8,48136,5,6,5,454,TIDAK
PARTAI KEADILAN SEJAHTERA,"MAR'ATUSH SHOLIHAH,Amd",P,Kec. KRAMAT,8,48136,5,6,6,203,TIDAK
PARTAI KEADILAN SEJAHTERA,DAKRI,L,Kec. WARUREJO,8,48136,5,6,7,203,TIDAK
PARTAI KEADILAN SEJAHTERA,"SUMARDI,SPdi",L,Kec. SURADADI,8,48136,5,6,8,2239,TIDAK
PARTAI KEADILAN SEJAHTERA,RINI KUSRINI,P,Kec. WARUREJO,8,48136,5,6,9,126,TIDAK
PARTAI AMANAT NASIONAL,SUTRASNO,L,LEBAKSIU,9,43317,5,1,1,967,TIDAK
PARTAI AMANAT NASIONAL,"H.SYAMSU RIJAL, BE",L,SLAWI,9,43317,5,1,2,2067,YA
PARTAI AMANAT NASIONAL,YUYUN DWI UMNIYATI,P,BALAPULANG,9,43317,5,1,3,116,TIDAK
PARTAI AMANAT NASIONAL,"ISMONO FAHMI,SH",L,DUKUHWARU,9,43317,5,1,4,1176,TIDAK
PARTAI AMANAT NASIONAL,"MAKMURI, SH",L,TARUB,9,43317,5,2,1,796,TIDAK
PARTAI AMANAT NASIONAL,AGUS HALIM,L,ADIWERNA,9,43317,5,2,2,174,TIDAK
PARTAI AMANAT NASIONAL,Drs. GUFRONI,L,PANGKAH,9,43317,5,2,3,736,TIDAK
PARTAI AMANAT NASIONAL,"MUFRODI, S.Pdi",L,PANGKAH,9,43317,5,2,4,2615,TIDAK
PARTAI AMANAT NASIONAL,Drs.M.TOPAN,L,BOJONG,9,43317,5,3,1,1788,TIDAK
PARTAI AMANAT NASIONAL,"MA'MUN MARNOTO,ST",L,JATINEGARA,9,43317,5,3,2,1297,TIDAK
PARTAI AMANAT NASIONAL,"URIPAH, Amd Kep",P,BOJONG,9,43317,5,3,3,389,TIDAK
PARTAI AMANAT NASIONAL,HELMI AMRULLOH,L,BUMIJAWA,9,43317,5,3,4,2560,YA
PARTAI AMANAT NASIONAL,Drs.A.TAUFIQUROCHMAN,L,MARGASARI ,9,43317,5,4,1,1213,TIDAK
PARTAI AMANAT NASIONAL,AKHMAD BAEDOWI,L,ADIWERNA,9,43317,5,4,2,171,TIDAK
PARTAI AMANAT NASIONAL,"ZAENUL SUHADA,S.Sos",L,BALAPULANG,9,43317,5,4,3,1461,YA
PARTAI AMANAT NASIONAL,ROBI MAS SUTARJO,L,MARGASARI ,9,43317,5,4,4,458,TIDAK
PARTAI AMANAT NASIONAL,ROKHANI,L,MARGASARI ,9,43317,5,4,5,729,TIDAK
PARTAI AMANAT NASIONAL,ZUMROTUN,P,ADIWERNA,9,43317,5,4,6,25,TIDAK
PARTAI AMANAT NASIONAL,"AHMAD EFENDI R, SIP",L,BALAPULANG,9,43317,5,4,7,31,TIDAK
PARTAI AMANAT NASIONAL,SAHURI,L,TALANG,9,43317,5,5,1,7765,YA
PARTAI AMANAT NASIONAL,Drs. BASORI,L,ADIWERNA,9,43317,5,5,2,3921,TIDAK
PARTAI AMANAT NASIONAL,SITI KHAFIDOH,P,SLAWI,9,43317,5,5,3,180,TIDAK
PARTAI AMANAT NASIONAL,KARTONO,L,ADIWERNA,9,43317,5,5,4,196,TIDAK
PARTAI AMANAT NASIONAL,"SYAEKHUL BAKRI, SE",L,ADIWERNA,9,43317,5,5,5,573,TIDAK
PARTAI AMANAT NASIONAL,DASUKI,L,KRAMAT,9,43317,5,6,1,2251,TIDAK
PARTAI AMANAT NASIONAL,"YUSWAN MAULANA, ST",L,KRAMAT,9,43317,5,6,2,2319,YA
PARTAI AMANAT NASIONAL,Dra. Hj. ETIKA SUKMAWATI,P,KRAMAT,9,43317,5,6,3,808,TIDAK
PARTAI KEDAULATAN,"YUDO PUJIASTOMO, SH",L,LEBAKSIU,11,504,0,1,1,62,TIDAK
PARTAI KEDAULATAN,DANANG SUBIYANTORO,L,BOJONG,11,504,0,3,1,37,TIDAK
PARTAI KEDAULATAN,SITI NUR AZIZAH,P,DUKUHTURI,11,504,0,5,1,108,TIDAK
PARTAI KEDAULATAN,MURNIA AFNAH,P,DUKUHTURI,11,504,0,5,2,30,TIDAK
PARTAI PERSATUAN DAERAH,Drs. DJOKO MULYONO DARMADI,L,SLAWI,12,226,0,1,1,36,TIDAK
PARTAI PERSATUAN DAERAH,MUHAMAD MUNADIRIN,L,BOJONG,12,226,0,3,1,59,TIDAK
PARTAI KEBANGKITAN BANGSA,"ABDUL BAAR,SHI",L,LEBAKSIU,13,108961,8,1,1,4622,YA
PARTAI KEBANGKITAN BANGSA,AHMAD LUKNI MAULANA,L,DUKUHWARU,13,108961,8,1,2,2940,TIDAK
PARTAI KEBANGKITAN BANGSA,"NUR AFLAKHATUN,S.Pdi",P,LEBAKSIU,13,108961,8,1,3,1350,TIDAK
PARTAI KEBANGKITAN BANGSA,Drs. ALI MURTADO,L,LEBAKSIU,13,108961,8,1,4,391,TIDAK
PARTAI KEBANGKITAN BANGSA,SONO SUGIARTO,L,SLAWI,13,108961,8,1,5,360,TIDAK
PARTAI KEBANGKITAN BANGSA,HJ.SITI AISAH,L,SLAWI,13,108961,8,1,6,980,TIDAK
PARTAI KEBANGKITAN BANGSA,APRONI,L,SLAWI,13,108961,8,1,7,1042,TIDAK
PARTAI KEBANGKITAN BANGSA,KHOZI'IN,L,SLAWI,13,108961,8,1,8,50,TIDAK
PARTAI KEBANGKITAN BANGSA,RM TEGUH IMAN DARUS JAMIN,L,KEDUNGBANTENG,13,108961,8,2,1,2219,TIDAK
PARTAI KEBANGKITAN BANGSA,AGUS SALIM,L,PANGKAH,13,108961,8,2,2,6334,YA
PARTAI KEBANGKITAN BANGSA,SURATMI,P,PANGKAH,13,108961,8,2,3,1165,TIDAK
PARTAI KEBANGKITAN BANGSA,MOHAMMAD YAMIN,L,PANGKAH,13,108961,8,2,4,5351,TIDAK
PARTAI KEBANGKITAN BANGSA,MOHAMMAD DUROCHIM,L,PANGKAH,13,108961,8,2,5,424,TIDAK
PARTAI KEBANGKITAN BANGSA,MUNIF,L,BUMIJAWA,13,108961,8,3,1,5006,YA
PARTAI KEBANGKITAN BANGSA,RIEN WIDYANINGTIAS,P,BUMIJAWA,13,108961,8,3,2,762,TIDAK
PARTAI KEBANGKITAN BANGSA,"MUSLIKHUN, S.Ag",L,BOJONG,13,108961,8,3,3,1621,TIDAK
PARTAI KEBANGKITAN BANGSA,SAYID AGIL,L,BUMIJAWA,13,108961,8,3,4,2951,TIDAK
PARTAI KEBANGKITAN BANGSA,WAIDI,P,BUMIJAWA,13,108961,8,3,5,2288,TIDAK
PARTAI KEBANGKITAN BANGSA,"AL FAUZIYAH, S.Pdi",,JATINEGARA,13,108961,8,3,6,130,TIDAK
PARTAI KEBANGKITAN BANGSA,A. FIRDAUS ASSYAIROZI,L,LEBAKSIU,13,108961,8,4,1,4195,YA
PARTAI KEBANGKITAN BANGSA,A. DODI SUBKHAN,L,PAGERBARANG,13,108961,8,4,2,2207,TIDAK
PARTAI KEBANGKITAN BANGSA,AKHNAFIYAH,P,BALAPULANG,13,108961,8,4,3,2282,TIDAK
PARTAI KEBANGKITAN BANGSA,BUNASIR,L,MARGASARI ,13,108961,8,4,4,2939,TIDAK
PARTAI KEBANGKITAN BANGSA,IMRON ROSYADI,L,BALAPULANG,13,108961,8,4,5,1017,TIDAK
PARTAI KEBANGKITAN BANGSA,MOHAMAD AL EFENDI,L,BALAPULANG,13,108961,8,4,6,56,TIDAK
PARTAI KEBANGKITAN BANGSA,IRFAN KHISANI,L,PAGERBARANG,13,108961,8,4,7,298,TIDAK
PARTAI KEBANGKITAN BANGSA,LATIFAH,P,SLAWI,13,108961,8,4,8,110,TIDAK
PARTAI KEBANGKITAN BANGSA,H.A NADIRUN FAIZI,L,TALANG,13,108961,8,5,1,2638,TIDAK
PARTAI KEBANGKITAN BANGSA,MULYATISAH,P,DUKUHTURI,13,108961,8,5,2,2458,TIDAK
PARTAI KEBANGKITAN BANGSA,BISRI MUSTOFA,L,ADIWERNA,13,108961,8,5,3,3368,YA
PARTAI KEBANGKITAN BANGSA,"AGUS SISWOYO, FN, S.Pdi",L,DUKUHTURI,13,108961,8,5,4,1892,TIDAK
PARTAI KEBANGKITAN BANGSA,A.ZAELANI,L,TALANG,13,108961,8,5,5,9567,YA
PARTAI KEBANGKITAN BANGSA,FASICHATUN,P,SLAWI,13,108961,8,5,6,183,TIDAK
PARTAI KEBANGKITAN BANGSA,MARKASAN,L,DUKUHTURI,13,108961,8,5,7,2571,TIDAK
PARTAI KEBANGKITAN BANGSA,ABDUL MAJID ,L,DUKUHTURI,13,108961,8,5,8,937,TIDAK
PARTAI KEBANGKITAN BANGSA,"Hj. LILIS SETIANINGSIH, S.Pdi",P,SLAWI,13,108961,8,5,9,293,TIDAK
PARTAI KEBANGKITAN BANGSA,"TAFSIR, MOH",L,DUKUHTURI,13,108961,8,5,10,3799,YA
PARTAI KEBANGKITAN BANGSA,MUHAMMAD BURHANI,L,DUKUHTURI,13,108961,8,5,11,577,TIDAK
PARTAI KEBANGKITAN BANGSA,UMI AZKIYANI,P,LEBAKSIU,13,108961,8,6,1,4112,YA
PARTAI KEBANGKITAN BANGSA,FATIKHA,P,KRAMAT,13,108961,8,6,2,1221,TIDAK
PARTAI KEBANGKITAN BANGSA,AGUS TAUFIK,L,KRAMAT,13,108961,8,6,3,504,TIDAK
PARTAI KEBANGKITAN BANGSA,A. SUYANTO,L,KRAMAT,13,108961,8,6,4,1390,TIDAK
PARTAI NASIONAL INDONESIA MARHAENISME,YUDI KRISTIANTO,L,SLAWI,15,812,0,1,1,289,TIDAK
PARTAI NASIONAL INDONESIA MARHAENISME,MUHAMAD SUKRI,L,PAGERBARANG,15,812,0,4,1,98,TIDAK
PARTAI DEMOKRASI PEMBARUAN,WARIDIN,L,SLAWI,16,7895,0,1,1,2069,TIDAK
PARTAI DEMOKRASI PEMBARUAN,SOPIJAH,P,SLAWI,16,7895,0,1,2,541,TIDAK
PARTAI DEMOKRASI PEMBARUAN,SRI SUHARTATI,P,SLAWI,16,7895,0,1,2,201,TIDAK
PARTAI DEMOKRASI PEMBARUAN,IWAN BUDI RUIS SUTOPO,L,MARGASARI ,16,7895,0,2,1,81,TIDAK
PARTAI DEMOKRASI PEMBARUAN,HIDAYAT,L,PANGKAH,16,7895,0,2,2,327,TIDAK
PARTAI DEMOKRASI PEMBARUAN,SAMSI,L,BUMIJAWA,16,7895,0,3,1,194,TIDAK
PARTAI DEMOKRASI PEMBARUAN,EKO RIYANTO,P,ADIWERNA,16,7895,0,4,1,1614,TIDAK
PARTAI DEMOKRASI PEMBARUAN,HARNOKO SUHARI,L,DUKUHWARU,16,7895,0,4,2,254,TIDAK
PARTAI DEMOKRASI PEMBARUAN,LENI RINDUWATI,L,SLAWI,16,7895,0,4,3,454,TIDAK
PARTAI DEMOKRASI PEMBARUAN,WAHYUDI,P,SLAWI,16,7895,0,4,4,55,TIDAK
PARTAI DEMOKRASI PEMBARUAN,"MURNIASIH,SE",P,ADIWERNA,16,7895,0,5, ,364,TIDAK
PARTAI DEMOKRASI PEMBARUAN,BAMBANG SETIAWAN,L,PAGERBARANG,16,7895,0,5,,86,TIDAK
PARTAI DEMOKRASI PEMBARUAN,SOLIKHA,P,ADIWERNA,16,7895,0,5,,248,TIDAK
PARTAI DEMOKRASI PEMBARUAN,SUGENG,L,DUKUHWARU,16,7895,0,6,,34,TIDAK
PARTAI DEMOKRASI PEMBARUAN,JOHANA TRI ASMARA P.,P,SLAWI,16,7895,0,6,,22,TIDAK
PARTAI MATAHARI BANGSA,"MUFRONI, BSc",L,SLAWI,18,2570,0,1,1,404,TIDAK
PARTAI MATAHARI BANGSA,"BURHANUDIN,SH",L,PANGKAH,18,2570,0,2,1,432,TIDAK
PARTAI MATAHARI BANGSA,"H SEFRUDIN,SE",L,TALANG,18,2570,0,5,1,890,TIDAK
PARTAI MATAHARI BANGSA,BARIROH,P,ADIWERNA,18,2570,0,5,2,230,TIDAK
PARTAI PENEGAK DEMOKRASI INDONESIA,SETO HANDOKO DWI SAPUTRO,L,SLAWI,19,473,0,1,1,112,TIDAK
PARTAI PENEGAK DEMOKRASI INDONESIA,DEWI NURLAELA SARI WIDIASTUTI,P,SLAWI,19,473,0,2,1,20,TIDAK
PARTAI PENEGAK DEMOKRASI INDONESIA,SUKMAWATI PUJI KATIKA,P,SLAWI,19,473,0,5,1,46,TIDAK
PARTAI DEMOKRASI KEBANGSAAN,SURYANTO,L,DUKUHWARU,20,322,0,1,1,118,TIDAK
PARTAI DEMOKRASI KEBANGSAAN,"MULYONO,SPd",L,SURODADI,20,322,0,6,1,78,TIDAK
PARTAI PELOPOR,"UNTORO SULAIMAN,SH",L,SLAWI,22,56,0,2,1,11,TIDAK
PARTAI GOLONGAN KARYA,"M KHUZAENI,SE,SH",L,LEBAKSIU,23,57712,6,1,1,2871,YA
PARTAI GOLONGAN KARYA,TRESNI MARYANA,P,LEBAKSIU,23,57712,6,1,2,1606,TIDAK
PARTAI GOLONGAN KARYA,SANURI,L,LEBAKSIU,23,57712,6,1,3,1118,TIDAK
